USD_BRL,Dia,Mes,Ano
3.8,21,11,2018
3.76,20,11,2018
3.76,19,11,2018
3.74,16,11,2018
3.78,15,11,2018
3.78,14,11,2018
3.8,13,11,2018
3.77,12,11,2018
3.73,9,11,2018
3.76,8,11,2018
3.73,7,11,2018
3.76,6,11,2018
3.73,5,11,2018
3.7,2,11,2018
3.7,1,11,2018
3.72,31,10,2018
3.7,30,10,2018
3.72,29,10,2018
3.64,26,10,2018
3.71,25,10,2018
3.74,24,10,2018
3.69,23,10,2018
3.69,22,10,2018
3.71,19,10,2018
3.72,18,10,2018
3.69,17,10,2018
3.73,16,10,2018
3.74,15,10,2018
3.78,12,10,2018
3.78,11,10,2018
3.76,10,10,2018
3.72,9,10,2018
3.78,8,10,2018
3.84,5,10,2018
3.87,4,10,2018
3.9,3,10,2018
3.94,2,10,2018
4.02,1,10,2018
4.05,28,9,2018
4.01,27,9,2018
4.03,26,9,2018
4.08,25,9,2018
4.09,24,9,2018
4.05,21,9,2018
4.08,20,9,2018
4.13,19,9,2018
4.16,18,9,2018
4.13,17,9,2018
4.17,14,9,2018
4.21,13,9,2018
4.16,12,9,2018
4.15,11,9,2018
4.09,10,9,2018
4.06,7,9,2018
4.06,6,9,2018
4.15,5,9,2018
4.16,4,9,2018
4.16,3,9,2018
4.06,31,8,2018
4.15,30,8,2018
4.11,29,8,2018
4.13,28,8,2018
4.08,27,8,2018
4.1,24,8,2018
4.12,23,8,2018
4.04,22,8,2018
4.05,21,8,2018
3.97,20,8,2018
3.91,17,8,2018
3.91,16,8,2018
3.91,15,8,2018
3.87,14,8,2018
3.88,13,8,2018
3.86,10,8,2018
3.8,9,8,2018
3.77,8,8,2018
3.75,7,8,2018
3.74,6,8,2018
3.71,3,8,2018
3.75,2,8,2018
3.75,1,8,2018
3.76,31,7,2018
3.73,30,7,2018
3.71,27,7,2018
3.75,26,7,2018
3.69,25,7,2018
3.75,24,7,2018
3.78,23,7,2018
3.77,20,7,2018
3.83,19,7,2018
3.85,18,7,2018
3.84,17,7,2018
3.86,16,7,2018
3.85,13,7,2018
3.88,12,7,2018
3.88,11,7,2018
3.82,10,7,2018
3.87,9,7,2018
3.86,6,7,2018
3.93,5,7,2018
3.91,4,7,2018
3.9,3,7,2018
3.91,2,7,2018
3.88,29,6,2018
3.86,28,6,2018
3.86,27,6,2018
3.8,26,6,2018
3.78,25,6,2018
3.79,22,6,2018
3.77,21,6,2018
3.77,20,6,2018
3.75,19,6,2018
3.75,18,6,2018
3.73,15,6,2018
3.81,14,6,2018
3.72,13,6,2018
3.72,12,6,2018
3.71,11,6,2018
3.71,8,6,2018
3.91,7,6,2018
3.85,6,6,2018
3.81,5,6,2018
3.75,4,6,2018
3.76,1,6,2018
3.72,31,5,2018
3.72,30,5,2018
3.73,29,5,2018
3.74,28,5,2018
3.65,25,5,2018
3.65,24,5,2018
3.63,23,5,2018
3.64,22,5,2018
3.68,21,5,2018
3.74,18,5,2018
3.7,17,5,2018
3.68,16,5,2018
3.65,15,5,2018
3.62,14,5,2018
3.6,11,5,2018
3.55,10,5,2018
3.59,9,5,2018
3.56,8,5,2018
3.55,7,5,2018
3.53,4,5,2018
3.53,3,5,2018
3.55,2,5,2018
3.51,1,5,2018
3.51,30,4,2018
3.46,27,4,2018
3.48,26,4,2018
3.48,25,4,2018
3.47,24,4,2018
3.45,23,4,2018
3.41,20,4,2018
3.39,19,4,2018
3.38,18,4,2018
3.41,17,4,2018
3.42,16,4,2018
3.42,13,4,2018
3.41,12,4,2018
3.37,11,4,2018
3.41,10,4,2018
3.42,9,4,2018
3.37,6,4,2018
3.34,5,4,2018
3.33,4,4,2018
3.34,3,4,2018
3.31,2,4,2018
3.31,30,3,2018
3.31,29,3,2018
3.32,28,3,2018
3.33,27,3,2018
3.31,26,3,2018
3.31,23,3,2018
3.32,22,3,2018
3.27,21,3,2018
3.31,20,3,2018
3.29,19,3,2018
3.28,16,3,2018
3.29,15,3,2018
3.26,14,3,2018
3.26,13,3,2018
3.26,12,3,2018
3.26,9,3,2018
3.27,8,3,2018
3.25,7,3,2018
3.21,6,3,2018
3.24,5,3,2018
3.25,2,3,2018
3.25,1,3,2018
3.25,28,2,2018
3.25,27,2,2018
3.23,26,2,2018
3.24,23,2,2018
3.25,22,2,2018
3.27,21,2,2018
3.26,20,2,2018
3.23,19,2,2018
3.23,16,2,2018
3.23,15,2,2018
3.22,14,2,2018
3.3,13,2,2018
3.3,12,2,2018
3.29,9,2,2018
3.29,8,2,2018
3.27,7,2,2018
3.23,6,2,2018
3.26,5,2,2018
3.22,2,2,2018
3.17,1,2,2018
3.19,31,1,2018
3.18,30,1,2018
3.16,29,1,2018
3.15,26,1,2018
3.15,25,1,2018
3.15,24,1,2018
3.24,23,1,2018
3.2,22,1,2018
3.2,19,1,2018
3.21,18,1,2018
3.22,17,1,2018
3.22,16,1,2018
3.22,15,1,2018
3.21,12,1,2018
3.22,11,1,2018
3.23,10,1,2018
3.25,9,1,2018
3.24,8,1,2018
3.23,5,1,2018
3.23,4,1,2018
3.24,3,1,2018
3.26,2,1,2018
3.31,1,1,2018
3.31,29,12,2017
3.31,28,12,2017
3.32,27,12,2017
3.31,26,12,2017
3.34,25,12,2017
3.34,22,12,2017
3.31,21,12,2017
3.3,20,12,2017
3.29,19,12,2017
3.29,18,12,2017
3.29,15,12,2017
3.34,14,12,2017
3.31,13,12,2017
3.31,12,12,2017
3.3,11,12,2017
3.29,8,12,2017
3.29,7,12,2017
3.24,6,12,2017
3.24,5,12,2017
3.24,4,12,2017
3.26,1,12,2017
3.27,30,11,2017
3.25,29,11,2017
3.21,28,11,2017
3.23,27,11,2017
3.23,24,11,2017
3.22,23,11,2017
3.22,22,11,2017
3.26,21,11,2017
3.26,20,11,2017
3.26,17,11,2017
3.27,16,11,2017
3.31,15,11,2017
3.31,14,11,2017
3.28,13,11,2017
3.28,10,11,2017
3.25,9,11,2017
3.25,8,11,2017
3.27,7,11,2017
3.25,6,11,2017
3.31,3,11,2017
3.27,2,11,2017
3.27,1,11,2017
3.27,31,10,2017
3.29,30,10,2017
3.24,27,10,2017
3.29,26,10,2017
3.23,25,10,2017
3.24,24,10,2017
3.24,23,10,2017
3.19,20,10,2017
3.17,19,10,2017
3.17,18,10,2017
3.16,17,10,2017
3.17,16,10,2017
3.15,13,10,2017
3.17,12,10,2017
3.17,11,10,2017
3.18,10,10,2017
3.19,9,10,2017
3.16,6,10,2017
3.15,5,10,2017
3.14,4,10,2017
3.14,3,10,2017
3.15,2,10,2017
3.16,29,9,2017
3.18,28,9,2017
3.19,27,9,2017
3.17,26,9,2017
3.16,25,9,2017
3.12,22,9,2017
3.14,21,9,2017
3.13,20,9,2017
3.14,19,9,2017
3.14,18,9,2017
3.11,15,9,2017
3.12,14,9,2017
3.14,13,9,2017
3.13,12,9,2017
3.1,11,9,2017
3.09,8,9,2017
3.1,7,9,2017
3.1,6,9,2017
3.12,5,9,2017
3.14,4,9,2017
3.14,1,9,2017
3.15,31,8,2017
3.16,30,8,2017
3.17,29,8,2017
3.17,28,8,2017
3.16,25,8,2017
3.15,24,8,2017
3.14,23,8,2017
3.16,22,8,2017
3.16,21,8,2017
3.15,18,8,2017
3.18,17,8,2017
3.15,16,8,2017
3.17,15,8,2017
3.19,14,8,2017
3.19,11,8,2017
3.18,10,8,2017
3.16,9,8,2017
3.13,8,8,2017
3.13,7,8,2017
3.13,4,8,2017
